"NUVOCO","299.70","301.15","283.05","304.25","286.90","-","-17.35","-5.70","2,15,831","6.24","477.50","280.30","-15.24","-5.34"
"POLYPLEX","875.00","877.85","850.00","885.00","875.00","-","-10.00","-1.13","72,217","6.23","1,398.00","774.00","6.21","-26.92"
"EASEMYTRIP","6.91","6.96","6.86","7.07","6.90","-","-0.17","-2.40","88,72,763","6.13","14.02","6.12","-25.16","-47.57"
"RAYMONDLSL","834.40","834.40","796.00","845.40","796.00","-","-49.40","-5.84","75,008","6.12","1,411.90","727.00","-13.82","-28.83"
"GODREJIND","830.20","847.75","821.00","831.95","823.00","-","-8.95","-1.08","73,135","6.10","1,390.00","814.40","-19.79","-29.51"
"GNFC","418.00","419.00","409.00","420.60","411.75","-","-8.85","-2.10","1,47,388","6.10","573.75","405.45","-10.72","-15.23"
"GLAND","1,651.00","1,651.00","1,592.80","1,664.80","1,596.00","-","-68.80","-4.13","37,796","6.09","2,131.00","1,277.80","-13.28","0.85"
"SAREGAMA","349.00","349.00","336.15","351.80","340.10","-","-11.70","-3.33","1,76,597","6.02","603.00","307.05","-0.38","-32.29"
"ORIENTCEM","136.58","137.00","132.10","139.35","133.11","-","-6.24","-4.48","4,45,508","6.00","362.40","131.85","-15.75","-61.53"
"ATUL","6,242.00","6,331.00","6,201.50","6,351.00","6,228.00","-","-123.00","-1.94","9,547","5.98","7,788.00","4,752.00","-5.64","9.78"
"RALLIS","241.00","247.40","240.00","244.40","242.00","-","-2.40","-0.98","2,41,079","5.87","385.90","196.78","-14.20","12.49"
"AFCONS","284.90","286.00","277.00","287.95","277.00","-","-10.95","-3.80","2,07,932","5.85","498.70","271.50","-13.49","-39.23"
"HERITGFOOD","315.80","317.65","310.10","320.20","311.00","-","-9.20","-2.87","1,86,396","5.85","540.00","294.40","-9.62","-20.40"
"ALLCARGO","8.20","8.22","7.89","8.28","8.09","-","-0.19","-2.29","72,59,832","5.84","38.34","7.39","-6.80","-73.64"
"AGI","510.00","519.75","500.55","519.70","504.30","-","-15.40","-2.96","1,14,121","5.80","1,009.00","478.20","-12.40","-29.41"
"ISGEC","885.00","910.00","882.60","905.20","899.00","-","-6.20","-0.68","64,851","5.78","1,281.30","683.95","8.84","-10.64"
"BASF","3,397.00","3,405.20","3,300.10","3,424.00","3,311.00","-","-113.00","-3.30","17,083","5.73","5,424.00","3,292.00","-6.75","-26.76"
"MSTCLTD","421.00","424.00","407.40","426.60","407.50","-","-19.10","-4.48","1,35,800","5.64","582.45","393.45","-11.46","-15.06"
"GLAXO","2,401.00","2,419.60","2,372.40","2,437.60","2,378.90","-","-58.70","-2.41","23,012","5.52","3,515.70","2,220.30","-7.72","-16.19"
"MINDACORP","496.00","505.10","494.35","505.40","500.00","-","-5.40","-1.07","1,10,058","5.50","619.95","445.05","-12.72","-5.65"
"BLUEDART","5,201.00","5,222.50","5,061.00","5,246.00","5,067.00","-","-179.00","-3.41","10,740","5.49","7,225.00","5,029.00","-10.60","-13.78"
"KIRLPNU","1,046.20","1,070.60","1,032.00","1,058.30","1,060.00","-","1.70","0.16","50,493","5.34","1,550.00","990.10","-5.79","-9.13"
"ALKYLAMINE","1,330.00","1,330.00","1,280.00","1,350.10","1,286.00","-","-64.10","-4.75","40,670","5.29","2,438.80","1,212.00","-15.42","-19.62"
